clone,patient,n,class_k2,interferon_MHC,HSC_progenitor,myeloid_diff,cell_cycle
AML1012_c0,AML1012,609,2,1.0216694,0.24510938,0.91341484,0.17760271
AML1012_c1,AML1012,247,1,1.4371156,0.04767218,1.3819449,0.10047992
AML210A_c0,AML210A,261,2,1.47809,0.3229685,0.52447206,0.2804897
AML210A_c1,AML210A,203,1,1.9750273,0.07766362,1.1692007,0.07451605
AML328_c0,AML328,457,2,1.7668895,0.49451894,0.1403586,0.21863961
AML328_c1,AML328,236,1,2.289022,0.03158138,1.2933528,0.016249472
AML329_c0,AML329,253,2,1.0293761,0.37691483,0.44561663,0.41221812
AML419A_c0,AML419A,586,1,1.6784457,0.10912583,1.311148,0.030961392
AML419A_c1,AML419A,482,2,1.2779979,0.31192476,0.29647893,0.21744472
AML420B_c0,AML420B,100,2,0.76526344,0.26282182,0.2436798,0.29690906
AML475_c0,AML475,308,1,1.7398198,0.14896405,0.8028307,0.04015476
AML556_c0,AML556,1036,2,1.3680378,0.31768316,1.4050832,0.52714914
AML556_c1,AML556,1026,1,1.5100523,0.17498946,1.3811312,0.22717905
AML707B_c0,AML707B,1370,2,1.5560516,0.5311382,0.7778611,0.3527679
AML870_c0,AML870,314,2,0.60117555,0.4935916,0.1674801,0.094160415
AML916_c0,AML916,394,2,1.7709427,0.6362817,0.02330943,0.50633883
AML916_c1,AML916,381,2,1.7231565,0.5173649,0.03490786,0.28805292
AML921A_c0,AML921A,2866,2,1.9500704,0.27326733,0.2786297,0.3340373
AML921A_c1,AML921A,512,1,2.0545268,0.10762972,1.0511379,0.14084159
