patient,clone,n_cells,cnv,epithelial_diff,basal_stem,EMT_invasion,cell_cycle,interferon_MHC,hypoxia_stress
P1,P1_0,913,0.012584810125231336,0.9697883022978069,0.7563948413194254,-0.09192883649151093,-0.028619598717516327,0.22959365156552963,0.168573895744944
P10,P10_2,944,0.008060891071257075,1.4820387161923287,0.620447163732348,-0.36620842521633545,-0.34173267027450377,0.5946211642682737,0.4936618407730137
P10,P10_3,850,0.007844682936411372,1.194397998184688,0.6813961612971391,-0.34961538541667825,-0.22365198044950557,0.6388143129588854,0.3791927313834432
P10,P10_4,108,0.008291977698486606,0.09901536305657042,1.7262537696145512,0.3821478782041581,-0.23394328597151207,0.9874967180715117,0.9795592607581047
P2,P2_1,2272,0.008306485675666485,0.2087502139103664,1.7010954205881919,-0.04003455156727498,0.0049783349039599824,0.8705500320282711,0.276337037810295
P2,P2_2,1315,0.008994713352788532,1.56975735871087,0.95597586256952,-0.17422604206268955,0.0327969460318762,0.8763068325939841,0.30978423425302154
P4,P4_0,2463,0.007780076559560675,0.31634518271468665,1.4033034200796823,-0.16984150587756777,0.1142471207802775,0.6181982774432184,0.2893075642579785
P4,P4_2,1560,0.008434379647018162,-0.11161547352225544,1.5999414182489151,-0.17536065404541212,0.06661163210793784,1.2385491379425249,0.5673982127610689
P4,P4_3,582,0.009624854126038682,1.1309474304434926,0.9657944826691337,-0.2603446406352356,-0.15650727178372908,1.161619206921921,0.41587550000277995
P4,P4_6,235,0.010912725846742879,1.9315092731206975,0.4371130617012731,-0.2479975245550592,-0.12744530461062778,0.2806144002638723,0.2269963379751706
P5,P5_1,754,0.01053316109864905,1.480827685317326,0.9361383571177043,-0.14214998264134887,-0.07556565072450923,0.44352510796974337,0.5845248333084765
P5,P5_2,346,0.006808913807192967,0.6434606209308167,1.0622040005333409,-0.1455210326183165,-0.020242654784901688,0.5709756781275273,0.37305380242252834
P6,P6_1,1634,0.008298761924939004,1.9568751173069292,0.6910217464340564,-0.16421827528571392,-0.341176325568643,0.8271711842942728,0.4538420467322935
P6,P6_2,1541,0.0072616885442096215,1.354960616136201,0.9684709085910461,-0.11538056668097248,-0.1894838488418669,0.873168671963588,0.35665108315735294
P6,P6_3,1064,0.0065824958500540175,0.44450306050080274,1.6148295347302728,-0.0686134330686906,-0.15220065340315955,0.92501247850242,0.3414540812029809
P7,P7_1,1189,0.007413949529010016,0.5586478619337006,1.2283295773905007,-0.09303755196372686,-0.14368646904663243,1.0150885160478924,0.3570167336160934
P7,P7_2,860,0.009594837701983886,1.1113100823512085,1.0699216038974317,-0.13938670338759215,-0.26998784847521246,0.8578113539176337,0.4472044653455589
P7,P7_3,788,0.010915007875906893,0.018756384097796105,1.9836653625274627,-0.03592801090008849,-0.30010350166150257,0.9318390963054227,0.45187675900618635
P8,P8_1,1198,0.010827418536160701,0.4948585733632014,0.8929959644932101,-0.18309395524413408,-0.10009072738733032,0.4853589298772776,0.5403700525284593
P8,P8_3,272,0.0086348251271962,1.0512998471277601,1.3898848115274531,-0.09953307428573703,-0.37476692438037573,0.8023168180502394,0.46592645904487545
P8,P8_4,246,0.012098855756698945,0.33122293226042293,0.711857975932185,-0.24451446429388643,0.05112214837081905,0.866984122634034,0.3092284723189546
P9,P9_1,1649,0.006586856414900327,1.0046285896379572,1.059318432081073,-0.10252531267816825,-0.05479958900844402,0.5275147298225974,0.39609698377601005
P9,P9_2,1172,0.00888021343330821,1.3678643451617085,0.8313304596913044,-0.07562135402817026,0.006617519143377303,0.541135455667125,0.35250144361320546
P9,P9_3,1085,0.007595970987086382,0.13897251298011448,1.8981177630995232,-0.01701861408725626,0.02800768462432328,0.6268466197111836,0.36347829529979275
P9,P9_5,102,0.01063594291043738,0.28832297685128805,1.614241499744502,0.17257399125082065,0.15242903069030392,0.8602964222668112,0.4707092343595771
