patient,clone,n_cells,mean_cnv
P1,P1_0,913,0.012584810125231336
P10,P10_2,944,0.008060891071257075
P10,P10_3,850,0.007844682936411372
P10,P10_4,108,0.008291977698486606
P2,P2_1,2272,0.008306485675666485
P2,P2_2,1315,0.008994713352788532
P4,P4_0,2463,0.007780076559560675
P4,P4_2,1560,0.008434379647018162
P4,P4_3,582,0.009624854126038682
P4,P4_6,235,0.010912725846742879
P5,P5_1,754,0.01053316109864905
P5,P5_2,346,0.006808913807192967
P6,P6_1,1634,0.008298761924939004
P6,P6_2,1541,0.0072616885442096215
P6,P6_3,1064,0.0065824958500540175
P7,P7_1,1189,0.007413949529010016
P7,P7_2,860,0.009594837701983886
P7,P7_3,788,0.010915007875906893
P8,P8_1,1198,0.010827418536160701
P8,P8_3,272,0.0086348251271962
P8,P8_4,246,0.012098855756698945
P9,P9_1,1649,0.006586856414900327
P9,P9_2,1172,0.00888021343330821
P9,P9_3,1085,0.007595970987086382
P9,P9_5,102,0.01063594291043738
