,n_cells,n_epi,n_refs,n_clones_total,n_malig_clones,n_malig_cells,ref_cnv,mean_epi_cnv
P1,2382.0,2164.0,76.0,5.0,1.0,913.0,0.008318935683125575,0.009984007230883414
P10,4569.0,3017.0,1389.0,5.0,3.0,1902.0,0.004586841373338092,0.007249973919666072
P2,6824.0,4305.0,2234.0,5.0,2.0,3587.0,0.004108116627144962,0.008164445315124641
P3,1742.0,223.0,1499.0,3.0,0.0,0.0,0.007051283922477387,0.009129625142708214
P4,7956.0,4793.0,2184.0,7.0,4.0,4840.0,0.004217765718877105,0.008378075573737856
P5,2494.0,1101.0,1361.0,5.0,2.0,1100.0,0.004404562855209596,0.009377621996039684
P6,6660.0,4850.0,1660.0,5.0,3.0,4239.0,0.0041672386475038485,0.007256449740357042
P7,5511.0,2784.0,2603.0,5.0,3.0,2837.0,0.0032882801048845986,0.00914728257229274
P8,3507.0,1718.0,1726.0,5.0,3.0,1716.0,0.003964820861016184,0.010660693216141453
P9,6519.0,3875.0,2415.0,6.0,4.0,4008.0,0.0039021280093374426,0.007726739329776965
