patient,clone,n_cells
P1,P1_4,420
P1,P1_7,68
P10,P10_0,507
P10,P10_1,390
P10,P10_2,387
P10,P10_4,207
P10,P10_6,37
P11,P11_0,544
P11,P11_1,356
P11,P11_2,270
P11,P11_4,138
P12,P12_0,946
P12,P12_1,785
P12,P12_5,90
P13,P13_0,547
P14,P14_1,336
P15,P15_1,1118
P15,P15_2,975
P16,P16_5,248
P18,P18_4,266
P18,P18_10,64
P2,P2_2,323
P2,P2_4,219
P20,P20_1,547
P22,P22_0,2240
P22,P22_3,298
P23,P23_4,391
P23,P23_7,185
P24,P24_4,336
P24,P24_5,218
P24,P24_6,139
P24,P24_8,72
P25,P25_7,125
P26,P26_0,2726
P26,P26_1,935
P26,P26_2,582
P27,P27_0,691
P27,P27_2,448
P28,P28_2,426
P28,P28_4,252
P30,P30_0,720
P30,P30_1,560
P30,P30_5,114
P31,P31_1,355
P4,P4_0,1947
P4,P4_1,1814
P4,P4_3,946
P4,P4_5,201
P5,P5_0,622
P5,P5_3,369
P6,P6_1,935
P6,P6_3,825
P6,P6_6,93
P7,P7_0,750
P7,P7_2,440
P7,P7_5,137
P7,P7_6,91
P8,P8_1,679
P8,P8_2,633
P8,P8_3,347
P8,P8_5,314
P9,P9_0,2554
