patient,n_cells,n_ref,n_malig_clones,n_malig_cells,cnv_ratio
P1,6280,3051,2,488,1.221905980778108
P10,1967,422,5,1528,2.058647861286399
P11,1589,274,4,1308,2.8077948298727997
P12,2900,1009,3,1821,2.3810938927168808
P13,1715,594,1,547,1.4252224286415167
P14,1610,532,1,336,1.0789747220358912
P15,5983,1884,2,2093,1.661989733462115
P16,2501,1413,1,248,1.243558760663344
P17,2484,693,0,0,0.9732835698020913
P18,3337,1810,2,330,1.3522037429903242
P19,2851,1465,0,0,1.1360408415306755
P2,2044,781,2,542,1.4414366720585339
P20,8301,838,1,547,1.5127099166883302
P22,4084,1533,2,2538,1.6607483711371844
P23,3684,1713,2,576,1.157394583844658
P24,2883,1101,4,765,1.6803018292575103
P25,3630,2367,1,125,1.1371493664287249
P26,5124,934,3,4243,2.7457012718884277
P27,2719,902,2,1139,1.478146982013436
P28,2195,1157,2,678,1.901991601071124
P29,2604,1382,0,0,1.1827548166201416
P30,2150,459,3,1394,1.9339347218300984
P31,2172,677,1,355,1.298107679615258
P4,6183,1894,4,4908,1.9942700051402031
P5,2486,788,2,991,1.612626197716553
P6,5087,1294,3,1853,1.3877805831133654
P7,2409,917,4,1418,4.1690955838987005
P8,3299,1356,4,1973,2.597461861630386
P9,6489,3401,1,2554,1.8015683600510988
