patient,clone,n_cells,epithelial_diff,alveolar,prolif,EMT_invasion,interferon_MHC,hypoxia_stress,class_k2,immune_hot
BRONCHO_11,BRONCHO_11_3,201,0.866981991480832,0.014504935060864,0.0430140316259011,0.1037174395963327,0.685597673535281,0.210177865382253,2,0
BRONCHO_58,BRONCHO_58_2,465,1.4049918093064642,0.0407429650966779,-0.0491676791438492,0.0273754237138242,1.1199607708688646,0.0798318673667087,1,1
EBUS_06,EBUS_06_0,701,0.3879811264011217,0.1798418170868415,-0.0071286681778392,-0.188086657977592,-0.0982305845875694,-0.0723778182030064,2,0
EBUS_06,EBUS_06_2,480,0.3400355013626672,0.123208191430817,0.0905516414025591,-0.1385262661603644,-0.0679291923376145,-0.1049491446216901,2,0
EBUS_10,EBUS_10_3,362,0.7031844501746283,0.2119753180965643,-0.0328205868147629,-0.1303673619938873,0.4695201318786508,0.2463521744302623,2,0
EBUS_12,EBUS_12_3,186,0.8516803170051626,-0.0773754344383875,-0.0799885935792999,0.243836727515027,1.142326744381944,-0.1095580918104813,1,1
EBUS_12,EBUS_12_7,68,0.6916288513997021,0.0886049986586851,-0.1044776873626545,0.073123742767979,0.8175473237278484,0.2287827109542233,1,1
EBUS_13,EBUS_13_3,394,-0.0164514395120331,-0.038661118207055,0.0698082356225516,0.5739886603125461,0.3325148835776556,-0.0307919405045243,2,0
EBUS_15,EBUS_15_2,188,0.4377069403178303,-0.2330884485382666,0.0885803086885688,-0.0404539815753909,0.7816091637041738,0.1152704371776141,1,1
EBUS_15,EBUS_15_3,74,0.5701493872930338,-0.2845749532283695,0.0216584702525074,-0.0284438376528722,1.0477293012969489,0.5984360338116551,1,1
EBUS_19,EBUS_19_4,138,1.2079432424289591,-0.143636605217333,-0.0930752493485794,-0.1645967118821731,0.6817787607705424,0.1140423941871394,2,0
EBUS_19,EBUS_19_6,74,0.8197621846907847,-0.0773389244119863,-0.1038188221935072,0.2800514073947873,0.937473824035877,0.3191125189839182,1,1
EBUS_28,EBUS_28_0,2359,0.90993542085365,0.07867926950435,-0.0613056350989464,-0.0955026962676424,0.7974601965522148,-0.0280817549713792,1,1
EBUS_28,EBUS_28_1,2195,1.0600485622198543,0.0574504061814456,0.0195204035215243,-0.1283609587639321,0.8467518028068483,-0.1289084060405544,1,1
EBUS_51,EBUS_51_0,1166,1.1843245077337654,-0.1168635002485321,-0.0622339360586617,0.0767897908250264,0.6005469871371593,0.2044681682197825,2,0
EBUS_51,EBUS_51_4,118,0.944257728002839,-0.1329410239094394,0.045203943903778,0.0426410579236301,0.4919259247043487,0.0475434287389119,2,0
EFFUSION_06,EFFUSION_06_4,193,0.7233922062191057,-0.0423602024832537,0.2207282964599565,-0.1591400967921823,-0.0123290193756589,0.0687620759850339,2,0
LUNG_T18,LUNG_T18_2,527,0.5158229682641192,-0.2130107627727049,-0.0250332238229673,0.0884870404895538,0.614443034465218,0.1640288345840895,2,0
LUNG_T18,LUNG_T18_3,442,0.673581975601827,-0.184195091774291,0.024343010029372,0.1289550735900125,1.0374150764264911,-0.0482077046001658,1,1
LUNG_T18,LUNG_T18_6,41,0.5944094087244048,-0.2454746719395242,-0.0060454448015709,0.100488342492561,1.159152099795458,0.2544614967194999,1,1
LUNG_T19,LUNG_T19_7,187,1.5395865810004583,0.4262581177095679,-0.0896378376160926,-0.0643251984714399,0.5999936526999773,0.0302007291788723,2,0
LUNG_T20,LUNG_T20_3,430,1.227042029328692,-0.0355139663949694,-0.0024239242834638,0.081930393585863,1.196860551083169,0.4163944700984068,1,1
LUNG_T25,LUNG_T25_4,266,1.668756733273429,0.878370820836988,-0.0746598141593741,0.0925426333135829,0.7391655550046872,-0.0839511491660784,1,1
LUNG_T28,LUNG_T28_3,609,0.7052020306814284,0.1736533063423392,0.030193848198923,-0.1251739542039614,0.5441954488698594,-0.0505445274917167,2,0
LUNG_T28,LUNG_T28_5,356,0.3767500094483407,0.3570698291615823,-0.0627869383247938,-0.0603236719312962,0.6974951095497712,-0.0287973707412066,2,0
LUNG_T30,LUNG_T30_1,829,1.7623347418860444,1.7165178420460263,-0.052420849124255,-0.1227233568148101,0.8132074727706593,0.1491834358911127,1,1
LUNG_T30,LUNG_T30_7,31,0.2163896835619403,0.118077076949099,-0.0647813873906289,-0.1946103218755414,0.8817139529498246,-0.0417266322976799,1,1
LUNG_T31,LUNG_T31_5,276,0.9522369585045868,0.6967948789055819,-0.0431959622333879,0.3664404159172433,1.1769355685891352,0.1194780735628328,1,1
LUNG_T31,LUNG_T31_6,106,0.6592389970155631,0.4619859240848202,-0.0602507855950286,-0.0582017155310267,0.5758906711922253,0.5557332520664863,2,0
NS_03,NS_03_0,1827,0.7573175336854566,0.0057234695424913,0.015219870976757,-0.1945251991539144,0.9041506152917148,-0.0369337030436692,1,1
NS_03,NS_03_1,692,0.6732350826912894,0.0263318732505761,-0.0645532818131134,-0.1246900198423449,0.7141628799213381,0.1105793756286762,2,0
NS_03,NS_03_3,204,0.5723074470884442,0.026938321469169,0.0175726311250644,-0.1007684566035769,0.830491810556071,-0.2601618784627104,1,1
NS_04,NS_04_0,738,0.9481245504226788,-0.2322361649220848,-0.0238364289303542,-0.0886216430431997,0.4450462048113328,-0.1430557667821403,2,0
NS_04,NS_04_2,317,0.6576324902272751,-0.3900455384106854,-0.0971809267822754,-0.0530480296911376,0.5080960972101028,-0.1874641305546655,2,0
NS_04,NS_04_4,177,0.7079673447278932,-0.197215089573474,-0.0143058518969459,0.0258790536205198,0.3562087052405741,-0.0969011186745207,2,0
NS_07,NS_07_0,1913,0.4488231376388427,-0.0279902357733879,-0.0288971891941291,-0.2324170816517973,0.321376453867605,0.0126667376078884,2,0
NS_07,NS_07_1,1693,0.6126405265561025,-0.0244312251673882,-0.0191062064357666,-0.2687438795459296,0.2097929683889218,-0.0162443070145051,2,0
NS_07,NS_07_2,1532,0.4063402258449086,0.0190735132169396,-0.013061476396622,-0.1644079123460748,0.2370326331831041,0.1301424975152426,2,0
NS_12,NS_12_0,1202,0.8413750947111855,0.1149321773841654,-0.0098769021839217,0.0529477764475497,0.9081442393281584,-0.0397793709587138,1,1
NS_12,NS_12_1,998,0.6866737126975594,0.1032378907815248,0.0290370475734243,0.0474079949376419,0.9368729438941004,-0.0642121950132335,1,1
NS_12,NS_12_2,712,0.9735233997656836,0.1036286051537883,0.0223802824973474,0.059922513073359,0.8943417136341744,-0.1696604170859529,1,1
NS_13,NS_13_1,729,2.283035222251065,1.781436474759338,-0.0364173368250446,-0.2256441931304727,0.7787891318608028,0.029911968029412,1,1
NS_13,NS_13_2,626,2.26055415162644,1.5663426665084177,-0.0482093831753959,-0.1230305637282156,0.6164040209772259,0.173341132585233,2,0
NS_17,NS_17_0,701,0.5543419426940362,-0.0463162121981297,-0.0324121119115985,-0.1034277687709047,0.7213779010672939,-0.1135335336543928,1,1
NS_17,NS_17_2,409,0.5237516209694458,-0.0310927279850964,0.0146393018892944,-0.0136829287779457,0.5820892549552078,-0.0966705277609822,2,0
NS_19,NS_19_1,767,0.5381468848777136,-0.0106570689787182,0.1294988953921391,-0.0021353520853837,0.9099678643208782,0.0385012785231015,1,1
