patient,clone,n_cells
BRONCHO_11,BRONCHO_11_3,201
BRONCHO_58,BRONCHO_58_2,465
EBUS_06,EBUS_06_0,701
EBUS_06,EBUS_06_2,480
EBUS_10,EBUS_10_3,362
EBUS_12,EBUS_12_3,186
EBUS_12,EBUS_12_7,68
EBUS_13,EBUS_13_3,394
EBUS_15,EBUS_15_2,188
EBUS_15,EBUS_15_3,74
EBUS_19,EBUS_19_4,138
EBUS_19,EBUS_19_6,74
EBUS_28,EBUS_28_0,2359
EBUS_28,EBUS_28_1,2195
EBUS_51,EBUS_51_0,1166
EBUS_51,EBUS_51_4,118
EFFUSION_06,EFFUSION_06_4,193
LUNG_T18,LUNG_T18_2,527
LUNG_T18,LUNG_T18_3,442
LUNG_T18,LUNG_T18_6,41
LUNG_T19,LUNG_T19_7,187
LUNG_T20,LUNG_T20_3,430
LUNG_T25,LUNG_T25_4,266
LUNG_T28,LUNG_T28_3,609
LUNG_T28,LUNG_T28_5,356
LUNG_T30,LUNG_T30_1,829
LUNG_T30,LUNG_T30_7,31
LUNG_T31,LUNG_T31_5,276
LUNG_T31,LUNG_T31_6,106
NS_03,NS_03_0,1827
NS_03,NS_03_1,692
NS_03,NS_03_3,204
NS_04,NS_04_0,738
NS_04,NS_04_2,317
NS_04,NS_04_4,177
NS_07,NS_07_0,1913
NS_07,NS_07_1,1693
NS_07,NS_07_2,1532
NS_12,NS_12_0,1202
NS_12,NS_12_1,998
NS_12,NS_12_2,712
NS_13,NS_13_1,729
NS_13,NS_13_2,626
NS_17,NS_17_0,701
NS_17,NS_17_2,409
NS_19,NS_19_1,767
