patient,purity,sil_allgenes,sil_maligspec
P10,1.0,0.7666471600532532,0.7612926959991455
P10,0.6,0.6391586661338806,0.6827714443206787
P10,0.3,0.4673372507095337,0.5587018132209778
P10,0.1,0.23548755049705505,0.31574171781539917
P2,1.0,0.7062009572982788,0.6209540963172913
P2,0.6,0.4737265408039093,0.4996693432331085
P2,0.3,0.22009609639644623,0.3322090208530426
P2,0.1,0.057708460837602615,0.1355551779270172
P4,1.0,0.8535422086715698,0.814504861831665
P4,0.6,0.7279199361801147,0.7400076389312744
P4,0.3,0.5527393221855164,0.5935849547386169
P4,0.1,0.20852096378803253,0.28937360644340515
P5,1.0,0.7742694020271301,0.649689257144928
P5,0.6,0.6132256388664246,0.5987232327461243
P5,0.3,0.4246407151222229,0.4963854253292084
P5,0.1,0.14937497675418854,0.3139435052871704
P6,1.0,0.6882579326629639,0.6162644028663635
P6,0.6,0.37582510709762573,0.43727079033851624
P6,0.3,0.14764156937599182,0.22892846167087555
P6,0.1,0.010478069074451923,0.04949761927127838
P7,1.0,0.8018935322761536,0.7638694643974304
P7,0.6,0.6690629720687866,0.7211008667945862
P7,0.3,0.500898540019989,0.6229127645492554
P7,0.1,0.2076612263917923,0.4246320426464081
P8,1.0,0.8468433022499084,0.7359070777893066
P8,0.6,0.7354212403297424,0.6776942610740662
P8,0.3,0.6028802990913391,0.5848979353904724
P8,0.1,0.3363911807537079,0.407684326171875
P9,1.0,0.79073166847229,0.7763802409172058
P9,0.6,0.6394861340522766,0.7361030578613281
P9,0.3,0.48514479398727417,0.6446399688720703
P9,0.1,0.23994077742099762,0.4434099793434143
