KEGG pathway,SIZE,ES,NES,NOM p value,FDR q value,DE genes (adj. p value < 0.05)
KEGG_JAK_STAT_SIGNALING_PATHWAY,146,0.49234,1.5952685,0.034764826,0.17057967,"IFNG, STAT1, IL12RB1, IL2RB, STAT4, PIK3CD, IL2RG"
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,252,0.580404,1.6136254,0.028901733,0.16894245,"IFNG, CCL4, CXCL9, CXCL13, CCL5, CXCL10, IL12RB1, IL2RB, CCL3L3, CCL3, CCL4L1, CXCL11, IL18RAP, TNFRSF9, IL2RG, CCR5, CXCR3, TNF"
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,126,0.41250932,1.6206708,0.033864543,0.1672928,PIK3CD
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,126,0.6334902,1.7142327,0.019607844,0.103134535,"IFNG, HLA-A, CD48, CD244, ITGAL, PRF1, LCK, NCR1, HLA-E, CD247, ZAP70, PIK3CD, SH2D1A, KLRD1, KIR2DL4, HLA-B, TNF"
KEGG_CHEMOKINE_SIGNALING_PATHWAY,186,0.57482934,1.759968,0.019193858,0.10825468,"CCL4, CXCL9, STAT1, CXCL13, CCL5, CXCL10, CCL3L3, CCL3, CCL4L1, CXCL11, PIK3CD, ITK, CCR5, CXCR3, NCF1"
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,107,0.64382005,1.8383716,0.015936255,0.07979285,"CD8A, IFNG, CD8B, PDCD1, PRKCQ, LCK, CD247, CD3E, ZAP70, PIK3CD, ICOS, CARD11, ITK, PTPRC, TNF"
KEGG_LINOLEIC_ACID_METABOLISM,29,-0.5938736,-1.4780928,0.042168673,0.25307253,PLA2G2D
KEGG pathway ,SIZE,ES,NES,NOM p value,FDR q value,DE genes (adj. p value < 0.8)
KEGG_RETINOL_METABOLISM,62,-0.57257974,-1.509491,0.046692606,0.2869858,"RPE65, CYP3A5, UGT2B28, CYP4A11, CYP3A4, RDH8, DHRS3, CYP2C18, ADH1B, ADH1C, ADH4, ADH5, DGAT2, ADH1A, RDH10, CYP26A1, UGT2B11, CYP2C9, AWAT2, CYP26C1, CYP2C19, CYP2C8, CYP2B6, CYP2A13, UGT1A4, CYP3A7, UGT1A1, UGT1A3, CYP26B1, DHRS9, UGT1A10, DGAT1, UGT1A8, UGT1A7, UGT1A6, ALDH1A1, RETSAT, RDH12, LRAT, RDH11, UGT1A5, CYP2A6, CYP2A7, CYP4A22, DHRS4, CYP1A1, CYP1A2, ADH7, ADH6, UGT2A1, ALDH1A2, CYP3A43, DHRS4L2, RDH16, UGT1A9, RDH5, UGT2B10, UGT2B7, PNPLA4, UGT2B4, UGT2B17, UGT2B15"
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,66,-0.58516467,-1.545371,0.03846154,0.27826276,"CYP2F1, CYP2E1, AKR1C4, EPHX1, CYP3A5, UGT2B28, CYP3A4, GSTP1, AKR1C3, GSTZ1, CYP2C18, ADH1B, CYP2S1, ADH1C, ADH4, ADH5, GSTO1, ADH1A, MGST2, MGST1, MGST3, GSTA3, GSTM1, UGT2B11, CYP2C9, GSTA4, CYP2C19, GSTM4, CYP2C8, GSTM3, CYP2B6, GSTM2, UGT1A4, UGT1A1, CYP3A7, UGT1A3, GSTM5, UGT1A10, UGT1A8, UGT1A7, GSTA1, UGT1A6, GSTA2, ALDH3A1, UGT1A5, GSTK1, AKR1C2, AKR1C1, CYP1A1, ADH7, CYP1A2, CYP1B1, ADH6, UGT2A1, ALDH1A3, ALDH3B1, ALDH3B2, CYP3A43, UGT1A9, DHDH, GSTO2, UGT2B10, UGT2B7, UGT2B4, UGT2B17, UGT2B15"
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,26,-0.72893864,-1.6668065,0.03,0.21226677,"UGT1A10, UGT1A8, RPE, UGT1A7, UGT1A6, UGT2B28, UGT1A5, CRYL1, UGDH, UGT2A1, GUSB, UGT1A9, DCXR, DHDH, UGT2B11, UGP2, XYLB, UGT2B10, AKR1B1, UGT2B7, UGT2B4, UGT1A4, UGT2B17, UGT1A1, UGT1A3, UGT2B15"
KEGG_STARCH_AND_SUCROSE_METABOLISM,49,-0.5511612,-1.6960232,0.027888447,0.3255303,"ENPP3, GCK, ENPP1, AMY2B, UGT2B28, PGM2, UXS1, UGDH, MGAM, GYS1, GYS2, HK2, HK3, HK1, GUSB, TREH, AMY1A, AMY1B, AMY2A, UGT2B11, PYGB, PYGM, PYGL, UGT1A4, UGT1A1, UGT1A3, UGT1A10, UGT1A8, UGT1A7, UGT1A6, PGM2L1, AGL, UGT1A5, SI, UGT2A1, GBE1, UGT1A9, G6PC2, GANC, G6PC, UGP2, PGM1, UGT2B10, UGT2B7, UGT2B4, GAA, GPI, UGT2B17, UGT2B15"
