KEGG pathway,SIZE,ES,NES,NOM p value,FDR q value,DE genes (adj. p value < 0.05)
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,105,0.6339948,1.7980776,0.005836576,0.04667528,"CD8A, CD247, PRKCQ, CD3G, LCK, CD3E, RASGRP1, PIK3CG, ITK, PTPRC"
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,73,0.68026704,1.7931737,0.001972387,0.039590493,"CD79A, PIK3CG, DAPP1, RAC2, LYN, PLCG2"
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,117,0.67479163,1.7752821,0.009596929,0.04177126,"SH2D1A, NCR1, PRF1, FASLG, CD247, LCK, KLRD1, ITGAL, CD48, PIK3CG, RAC2, PLCG2, PTK2B, TNFRSF10A, IFNGR1"
KEGG_CELL_ADHESION_MOLECULES_CAMS,127,0.5920211,1.7298856,0.0078125,0.061108347,"CD8A, CD6, CD2, CD274, ITGAL, CD226, SELL, PTPRC, HLA-F, CADM3"
KEGG_CHEMOKINE_SIGNALING_PATHWAY,182,0.5360378,1.6847047,0.015625,0.07668243,"CXCL13, CCL4, CCR5, CCL5, CXCL9, FGR, PIK3CG, CCR2, ITK, RAC2, DOCK2, CCR7, LYN, PTK2B, JAK2"
KEGG_JAK_STAT_SIGNALING_PATHWAY,137,0.49807757,1.6785563,0.028735632,0.07702605,"IL12RB1, IL2RG, IL7R, STAT4, PIK3CG, CCND2, IL15RA, JAK2, IFNGR1, SPRED2"
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,238,0.59728324,1.668354,0.01171875,0.08149068,"CXCL13, FASLG, CCL4, IL18RAP, IL12RB1, TNFRSF9, CCR5, CCL5, CXCL9, IL2RG, IL7R, FLT3, CCR2, IL18R1, CCR7, IL15RA, TNFSF4, TNFRSF10A, IFNGR1"
KEGG pathway,SIZE,ES,NES,NOM p value,FDR q value,DE genes (adj. p value < 0.8)
KEGG_WNT_SIGNALING_PATHWAY,146,-0.3108651,-1.1653148,0.29079497,1,"CCND2, RAC2"
KEGG_MELANOGENESIS,98,-0.322643,-1.1231761,0.3195021,1,"CALM2, CALM1, TYR, CREB3L1, FZD1, FZD4, FZD6, FZD7, LEF1, CREBBP, CREB3, FZD8, WNT9B, WNT9A, CREB1, WNT2B, WNT11, EDN1, WNT10B, NRAS, EDNRB, KRAS, PRKX, GNAI1, GNAI2, CALML5, ADCY3, ADCY2, ADCY1, CREB3L3, WNT5B, CAMK2A, CAMK2D, CAMK2G, PRKACA, GNAQ, PRKACB, PRKACG, GNAS, GNAI3, WNT16, GNAO1, CALML3, DCT, CALM3, PLCB2, ADCY8, ADCY9, PLCB1, ADCY6, ADCY7, PRKCB, RAF1, PLCB3, PRKCA, PLCB4, ADCY5, CREB3L4, ASIP, KITLG, PRKCG, MC1R, WNT3A, DVL3, DVL2, MAP2K2, MAP2K1, KIT, FZD3, DVL1, ADCY4, TYRP1, WNT4, WNT10A, MAPK3, TCF7, MAPK1, TCF7L2, HRAS, WNT1, EP300, GSK3B, WNT7A, WNT7B, WNT8A, WNT8B, WNT2, WNT3, WNT5A, CTNNB1, WNT6, FZD10, CREB3L2, FZD5, TCF7L1, MITF, FZD2, CALML6"
KEGG_OXIDATIVE_PHOSPHORYLATION,114,-0.25159064,-0.8715881,0.53205127,1,"ATP6V1G1, UQCR10, NDUFA5, NDUFA4, PPA2, ATP5J2, NDUFS7, ATP6V0A1, ATP6V1G2, ATP6V0B, ATP5O, ATP6AP1, COX8C, COX5B, COX4I1, ATP6V0A4, ATP5H, NDUFA2, NDUFA3, NDUFA1, UQCRQ, ATP6V1H, ATP5D, LHPP, ATP6V0D2, COX7A2L, ATP5G3, ATP6V1C2, ATP5G2, ATP5G1, ATP5F1, ATP5E, COX5A, TCIRG1, UQCRHL, ATP4B, ATP6V1D, ATP4A, ATP5A1, ATP5J, ATP5I, SDHA, ATP6V1A, ATP6V1E1, NDUFA4L2, ATP6V1B2, ATP6V1B1, ATP6V1C1, ATP6V0C, COX10, COX8A, COX7C, SDHD, SDHB, SDHC, ATP6V1G3, COX7B, COX7A1, COX7A2, COX6C, COX17, ATP5B, COX6B1, ATP5C1, ATP6V1F, ATP6V0A2, UQCRB, ATP6V0D1, COX6A2, COX6A1, UQCRH, UQCRFS1, UQCRC2, UQCRC1, NDUFB3, NDUFB1, NDUFB2, NDUFA10, NDUFAB1, ATP6V0E2, NDUFA9, NDUFA7, NDUFA8, UQCR11, NDUFA6, NDUFV3, ATP6V1E2, COX6B2, PPA1, COX4I2, ATP5L, ATP6V0E1, NDUFA11, NDUFB10, NDUFS8, NDUFC1, NDUFC2, NDUFS1, NDUFV2, NDUFB6, NDUFS4, NDUFB7, NDUFV1, NDUFB8, NDUFS6, NDUFB9, NDUFS5, NDUFS2, NDUFB4, NDUFS3, NDUFB5, CYC1, COX11, COX15"
