Responders (R),Non-responders (NR),Both Responders and Non-responders
Anti-PD-1 Only,Anti-PD-1 Only,Anti-PD-1 R and Anti-CTLA-4 + Anti-PD-1 NR 
PRF1,SYTL5,JAKMIP1
TMPRSS3,GABRA2,TRAJ18
TNIP3,GRIA4,
IFNG,ITIH5,
CXCL10,RP1,
SLFN14,WNT3,
IL12RB1,LAMB4,
TBX21,AADAC,
TRAJ42,CA9,
KIR2DL4,GRIA2,
DBH-AS1,NDST3,
IDO1,GRIK3,
SIT1,TMEM246,
FCRL6,,
LCK,,
BFSP2,,
DTHD1,,
NCR1,,
UBD,,
PDCD1,,
BATF2,,
CXCL13,,
CD8B,,
TRBV7-6,,
LAG3,,
ZNF683,,
CD7,,
SIRPG,,
NLRP7,,
DBH,,
TRAJ5,,
HSH2D,,
TRAJ43,,
CXCL11,,
SYNGR3,,
TRGV10,,
P2RY10,,
GZMA,,
IL18RAP,,
AIM2,,
TRAJ1,,
GFI1,,
PYHIN1,,
C4orf50,,
IL4I1,,
XIRP1,,
FRMPD3,,
PLA2G2D,,
TRAJ36,,
NKG7,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
