Responders (R),Non-responders (NR),Both Responder and Non-responders
Anti-PD-1 Only,Anti-PD-1 Only,Anti-PD-1 R and Anti-CTLA-4 + Anti-PD-1 NR 
TNIP3,SYTL5,DTHD1
MAP4K1,DSPP,JAKMIP1
ZAP70,GPR98,IRF1
TRBV25-1,CMTM8,LAX1
SLFN14,RNF157-AS1,TRAT1
IL12RB1,EDIL3,
PRSS3P2,DNAJC22,
SLA2,NDST3,
TBX21,ENPP5,
TRAJ42,IGFBP2,
AKAP5,GABRA2,
CRTAM,GRIA4,
DBH-AS1,MYBPC1,
DENND1C,GRIA2,
LILRA4,GRIK3,
TRBV5-6,TMEM246,
ACOXL,,
FCRL6,,
TNF,,
TRAJ16,,
TRAV8-3,,
BFSP2,,
PPP1R16B,,
KIR3DX1,,
PDCD1,,
SPN,,
CD244,,
TRAJ10,,
SH2D1A,,
PIK3CD-AS1,,
TMC8,,
CXCL13,,
CD8B,,
PRKCQ,,
TRBV7-6,,
ARHGAP9,,
P2RY8,,
HLA-A,,
CD7,,
TRAJ50,,
SIRPG,,
NLRP7,,
TRAV4,,
CD8A,,
SEP1,,
SYNGR3,,
GPR174,,
ITGAD,,
TRGV10,,
CARD11,,
GZMA,,
FAM196B,,
CST7,,
RASAL3,,
NCF1,,
CD2,,
TRAJ17,,
AIM2,,
IRF8,,
ICOS,,
SLC27A2,,
CD38,,
TRAJ38,,
TRAJ14,,
PYHIN1,,
TRAJ13,,
XIRP1,,
TRAJ18,,
TRAJ45,,
PLA2G2D,,
TOX,,
LY9,,
PRF1,,
TMPRSS3,,
IFNG,,
KCNA3,,
TRIM69,,
TRAJ12,,
KIR2DL4,,
ITK,,
SPOCK2,,
KLRC4,,
OTOF,,
TRAJ52,,
SIT1,,
CD6,,
UBD,,
KLRC4-KLRK1,,
TRAJ2,,
SLAMF1,,
TRAJ44,,
ZBP1,,
TRAJ22,,
LAG3,,
PZP,,
CD3E,,
IL2RB,,
GPR171,,
CLEC6A,,
DBH,,
TRAJ5,,
GBP4,,
HSH2D,,
TRAJ43,,
CXCL11,,
KLRD1,,
ITGAL,,
P2RY10,,
TRAJ1,,
GFI1,,
TRAJ27,,
NLRC3,,
C4orf50,,
TRBV27,,
FRMPD3,,
TRAJ26,,
TRAJ36,,
NKG7,,
OPRM1,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
