Gene,RatioRtoNR,NumHitsR,PvalR,pAdjR,LorR,NumHitsNR,PvalNR,pAdjNR,LorNR,BGhit
FREM1,8.09523809523809,10,3.199788e-05,0.00108792792,7.910642,1,1.0,1.0,0.5487197,48
TACC2,7.28571428571429,9,0.002443211,0.056193853,4.328983,1,0.4880075,1.0,0.3628521,69
SCN5A,7.28571428571429,9,0.005016231,0.10032462,3.803694,1,0.3318079,1.0,0.318693,77
OR13C5,6.47619047619048,7,4.993165e-06,0.000174760775,17.23178,0,1.0,1.0,0.0,13
FMO1,6.47619047619048,7,6.179341e-05,0.00197738912,10.54272,0,1.0,1.0,0.0,21
UTRN,6.47619047619048,7,6.179341e-05,0.00197738912,10.54272,0,1.0,1.0,0.0,21
LPHN3,5.66666666666667,7,0.0003521438,0.0095078826,7.522021,1,1.0,1.0,0.9483758,29
KCNH5,5.66666666666667,7,0.01705131,0.26569024,3.33254,1,0.7095542,1.0,0.4185828,61
MUC12,4.85714285714286,6,2.910801e-09,1.04788836e-07,inf,1,0.03497942,1.0,inf,0
ZNF534,4.85714285714286,6,5.550779e-05,0.00183175707,13.81808,1,0.3967356,1.0,2.18738,13
SP140L,5.66666666666667,6,0.0001850785,0.005552355,10.50654,0,1.0,1.0,0.0,17
ITGA9,5.66666666666667,6,0.0001850785,0.005552355,10.50654,0,1.0,1.0,0.0,17
AMER3,4.85714285714286,6,0.0002400804,0.0067222512,9.907893,1,0.4982254,1.0,1.564202,18
ABCA7,5.66666666666667,6,0.0004861078,0.0126388028,8.449635,0,1.0,1.0,0.0,21
OR10J1,5.66666666666667,6,0.0006018299,0.0150457475,8.051361,0,1.0,1.0,0.0,22
BRCA2,4.85714285714286,6,0.001819143,0.043659432,6.253607,1,1.0,1.0,0.9844066,28
MDN1,5.66666666666667,6,0.002491855,0.056193853,5.813978,0,0.6149512,1.0,0.0,30
CDH23,4.85714285714286,6,0.004391122,0.092213562,5.086991,1,1.0,1.0,0.7999457,34
USP6,5.66666666666667,6,0.006411363,0.121815897,4.645163,0,0.6307872,1.0,0.0,37
STAB1,4.85714285714286,6,0.007217857,0.129921426,4.513252,1,1.0,1.0,0.7093304,38
ACSM2B,5.66666666666667,6,0.008097146,0.137651482,4.388085,0,0.383432,1.0,0.0,39
CACNA1S,4.85714285714286,6,0.01660564,0.26569024,3.662937,1,1.0,1.0,0.5752606,46
MYOM3,4.85714285714286,6,0.01820152,0.26569024,3.5772,1,1.0,1.0,0.5617081,47
CNGB3,4.85714285714286,6,0.02171392,0.28228096,3.415684,1,1.0,1.0,0.5362607,49
DCHS2,4.85714285714286,6,0.02567578,0.30810936,3.266552,1,1.0,1.0,0.512807,51
PKHD1,4.85714285714286,6,0.03770523,0.41475753,2.940861,1,0.7068697,1.0,0.4614946,56
LPA,4.85714285714286,6,0.0985318,0.985318,2.571031,1,0.7119013,1.0,0.4033245,63
SPAG17,4.85714285714286,6,0.1003843,0.985318,2.524864,1,0.7133208,1.0,0.3960526,64
DNAH2,4.85714285714286,6,0.113122,0.985318,2.313754,1,0.4880075,1.0,0.3628521,69
UNC5D,0.161904761904762,1,1.0,1.0,0.5843052,5,0.01075638,0.33344778,4.837084,37
DGKI,0.161904761904762,1,1.0,1.0,0.7069086,5,0.005433416,0.173869312,5.846751,31
PLEKHA7,0.161904761904762,1,1.0,1.0,0.8188115,5,0.003165482,0.104460906,6.765534,27
TRPM2,0.134920634920635,1,1.0,1.0,0.6401959,6,0.001342374,0.04698309,6.923514,34
BCLAF1,0.134920634920635,0,0.154345,1.0,0.0,5,0.05259842,1.0,3.002017,57
ITGAX,0.134920634920635,0,0.6147533,1.0,0.0,5,0.001684328,0.057267152,8.002852,23
CLEC14A,0.134920634920635,0,1.0,1.0,0.0,5,0.0007938832,0.0285797952,9.753897,19
