Patient,Type,SAMPLE,TOTAL_READS,MEAN_TARGET_COVERAGE,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,PCT_TARGET_BASES_40X,PCT_TARGET_BASES_50X,PCT_TARGET_BASES_100X,PF_READS,PF_UNIQUE_READS,PCT_PF_READS,PCT_PF_UQ_READS,PF_UQ_READS_ALIGNED,PCT_PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_BAIT_BASES,NEAR_BAIT_BASES,OFF_BAIT_BASES,ON_TARGET_BASES,PCT_SELECTED_BASES,PCT_OFF_BAIT,ON_BAIT_VS_SELECTED,MEAN_BAIT_COVERAGE,MEDIAN_TARGET_COVERAGE,PCT_USABLE_BASES_ON_BAIT,PCT_USABLE_BASES_ON_TARGET,FOLD_ENRICHMENT,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X
Pt89,pre,Pt89_pre,271669520,176.691766,0.951526,0.93482,0.913748,0.88816,0.708807,253602248,193824831,0.933495,0.713458,191359104,0.987279,18932808857,14435110365,11557882849,3619694289,3755231719,8006873057,0.801655,0.198345,0.76151,255.053716,151,0.599669,0.415428,41.78834,0.014199,0.237561,0.070893,0,0,0.268636,2.35589,0.97904,0.976343,0.965111
Pt7,pre,Pt7_pre,321288074,190.198708,0.955221,0.941617,0.924221,0.901765,0.726095,300665644,223129898,0.935813,0.694485,220662639,0.988942,22444597311,16623050245,12988022773,5006357907,4450216631,8618946711,0.801724,0.198276,0.721782,286.613346,158,0.568389,0.377187,39.611666,0.013653,0.259374,0.064763,0,0,0.291853,2.377484,0.97994,0.977422,0.966836
Pt83,pre,Pt83_pre,387826464,204.311557,0.960497,0.950695,0.937541,0.92012,0.770329,362063068,250396965,0.93357,0.645642,244700734,0.977251,26748171440,18382045257,15350492968,5079988590,6317689882,9258477313,0.763809,0.236191,0.751352,338.747185,172,0.557859,0.336466,39.284399,0.015367,0.312774,0.064023,0,0,0.277068,2.270128,0.978241,0.976169,0.968538
Pt84,pre,Pt84_pre,201136770,121.521302,0.936577,0.901871,0.856665,0.803402,0.507277,201136770,150299783,1.0,0.747252,145061892,0.96515,14591629392,10816886335,8492340966,2497051003,3602237423,5506796753,0.75313,0.24687,0.772776,187.404834,101,0.555549,0.360242,39.83965,0.015078,0.258692,0.086894,0,0,0.277019,2.430426,0.978031,0.975206,0.960481
Pt108,pre,Pt108_pre,285290372,151.211643,0.952663,0.934694,0.909974,0.877982,0.647578,285290372,196887407,1.0,0.69013,188986812,0.959873,20624280142,14081394676,11598565192,3814554548,5211160402,6852228954,0.747329,0.252671,0.752512,255.951474,130,0.534938,0.316032,38.496154,0.014685,0.317242,0.078411,0,0,0.272106,2.223701,0.97883,0.976253,0.9659
Pt70,pre,Pt70_pre,271736870,168.828932,0.951787,0.933301,0.909287,0.879329,0.670037,255338932,197819990,0.939655,0.727984,195722548,0.989397,19093892686,14766609040,10944301499,4197312943,3952278244,7650564919,0.793008,0.206992,0.722796,241.513502,138,0.563972,0.394242,39.236066,0.013246,0.226632,0.072436,0,0,0.300251,2.411842,0.980082,0.977375,0.96598
Pt98,pre,Pt98_pre,267966040,151.466698,0.948361,0.923696,0.891675,0.853419,0.621251,267966040,189659812,1.0,0.707776,182596899,0.96276,19444002576,13626812275,11291633228,3340178969,4812190379,6863786894,0.75251,0.24749,0.771718,249.17825,126,0.554451,0.337031,39.752365,0.013344,0.299177,0.086144,0,0,0.261676,2.483061,0.980454,0.977835,0.965788
Pt68,pre,Pt68_pre,311675884,178.127134,0.955574,0.939065,0.917113,0.889774,0.703453,311675884,211924887,1.0,0.679953,204234748,0.963713,22681351777,15263021928,13718413318,3844319813,5118618646,8071917465,0.774325,0.225675,0.781109,302.731248,150,0.579145,0.340769,41.402525,0.013587,0.327067,0.081531,0,0,0.235518,2.375028,0.980168,0.977706,0.967894
Pt82,pre,Pt82_pre,293063442,186.142641,0.952494,0.937587,0.918705,0.895589,0.72636,272761462,209279253,0.930725,0.714109,206567687,0.987043,20330644241,15564384009,12166834456,3801439279,4362370506,8435144038,0.785429,0.214571,0.761938,268.491763,156,0.586923,0.406908,40.965507,0.015372,0.234437,0.071778,0,0,0.278887,2.356236,0.977896,0.975407,0.964922
Pt30,pre,Pt30_pre,301573612,166.674959,0.948152,0.926478,0.898009,0.863559,0.647118,289173614,181552860,0.958882,0.602018,178603194,0.983753,21601316861,13486270114,13562565381,3535297393,4503454087,7552956623,0.791519,0.208481,0.793232,299.292072,134,0.61712,0.343672,42.978722,0.015508,0.375674,0.058584,0,0,0.21609,2.56423,0.977872,0.975286,0.963641
