symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
SLAMF1,1152.979875,-3.738265677,0.518434583,5.57e-13,9.22e-09
FUCA1,10063.99815,-2.756222762,0.412052596,2.25e-11,1.86e-07
PTPRM,6636.163541,1.59325409,0.287035657,2.84e-08,0.000119671
TIFA,777.9233107,-1.342255081,0.241933567,2.89e-08,0.000119671
SIGLEC8,355.1072411,-2.854940593,0.518676847,3.71e-08,0.000122839
RHOJ,2019.774483,1.600518248,0.298201848,8e-08,0.000220795
FAM159A,47.99379619,-2.684690651,0.506573023,1.16e-07,0.000274539
GTSF1,132.1047914,-2.850383661,0.554676807,2.76e-07,0.000458084
ADH1C,1020.484471,-3.025139166,0.586666161,2.52e-07,0.000458084
C4BPA,223.5811427,-3.125411353,0.606911342,2.61e-07,0.000458084
RNASET2,2465.91691,-1.58668637,0.313583489,4.2e-07,0.000632002
CXCL13,1969.347114,-2.734967893,0.548252444,6.08e-07,0.000782515
PLA2G2D,1322.48768,-2.839309764,0.571010468,6.61e-07,0.000782515
RGS12,3314.097617,1.670613729,0.335506594,6.38e-07,0.000782515
FRAT1,158.7800267,-1.057079621,0.216545105,1.05e-06,0.001162544
CCL21,4538.80141,-2.856399655,0.589725478,1.28e-06,0.00132036
BCAS4,2391.721991,-1.766876266,0.367072461,1.48e-06,0.001446028
PCNX4,2932.546982,0.873148499,0.182662038,1.75e-06,0.00161254
STAP1,237.336328,-2.647451976,0.558336451,2.12e-06,0.001848357
EDN3,206.3057195,-2.834291091,0.602387917,2.54e-06,0.001911087
NAPSB,974.6077085,-2.264467539,0.480402258,2.43e-06,0.001911087
ITIH6,721.5303662,2.753860137,0.584174695,2.43e-06,0.001911087
IQGAP2,3378.459732,-1.70716933,0.364040104,2.74e-06,0.001972874
ADAM28,979.7236223,-2.063010097,0.441235258,2.93e-06,0.002019121
RHOU,1180.017444,-1.655982153,0.354778003,3.05e-06,0.002019121
CD79A,1315.029421,-2.667411819,0.573469582,3.3e-06,0.002101444
CHIT1,2036.144474,-2.70268413,0.589820451,4.6e-06,0.002541002
FAM151A,24.2643428,-2.268893182,0.493549858,4.28e-06,0.002541002
LTB,818.4935493,-2.416856543,0.526405359,4.41e-06,0.002541002
B4GALT6,1673.602977,1.529538774,0.333707574,4.57e-06,0.002541002
ADAMDEC1,1522.681676,-2.387174565,0.52311118,5.03e-06,0.002689932
PLA2G7,1533.336693,-1.938932589,0.428295901,5.98e-06,0.00309646
CYP2C8,81.8580185,-2.700742955,0.598760075,6.47e-06,0.003150881
SLC29A3,692.1376642,-1.73780627,0.384909024,6.34e-06,0.003150881
GCHFR,457.5473508,-1.916542241,0.426426939,6.98e-06,0.003293474
TMSB4X,67027.04248,-1.722561458,0.383729458,7.16e-06,0.003293474
KCTD15,3464.499818,1.123212799,0.250605229,7.39e-06,0.003311405
ALDOB,405.7674977,-2.701249123,0.603863198,7.7e-06,0.00335866
RAB3C,120.1053973,-2.277727799,0.510113402,8e-06,0.003399465
FBN2,944.4762809,-2.330231712,0.52490685,9.02e-06,0.003638961
GPR174,191.137449,-2.302726447,0.519263333,9.22e-06,0.003638961
CYTIP,943.5089129,-1.937055581,0.436098235,8.92e-06,0.003638961
CETP,314.1837677,-2.146273541,0.489869661,1.18e-05,0.004350486
LILRA4,192.1644536,-2.249396913,0.51344796,1.18e-05,0.004350486
CD6,554.0616482,-1.910796968,0.435796228,1.16e-05,0.004350486
CD52,1865.934188,-2.214602672,0.507047817,1.26e-05,0.004373476
GPR18,204.6451393,-2.333299656,0.534458003,1.27e-05,0.004373476
LY86,829.2142601,-1.865299931,0.42693164,1.25e-05,0.004373476
BEGAIN,69.58434376,1.847259438,0.426651418,1.49e-05,0.004948617
HS3ST2,1013.269002,-2.400599521,0.554191171,1.48e-05,0.004948617
PRDM8,166.4551815,-2.056319941,0.476540841,1.6e-05,0.005182941
TMEM37,575.0248307,-1.728590718,0.404113474,1.89e-05,0.006022633
HLA-DMB,6379.808084,-1.791524795,0.421180029,2.1e-05,0.006337661
RAB4B,104.8155312,2.004363229,0.470483888,2.04e-05,0.006337661
RPA3,919.1881688,-0.899730871,0.211360865,2.07e-05,0.006337661
DST,11125.78898,1.517357175,0.357138985,2.15e-05,0.006363275
PTPRN2,385.9713654,-1.934760562,0.456084004,2.21e-05,0.006436437
HVCN1,668.6775387,-1.649545654,0.389638672,2.3e-05,0.006572038
MYOM3,50.74618711,2.294081,0.544281778,2.5e-05,0.006885786
RHOH,488.0177001,-2.121194647,0.504088311,2.58e-05,0.006885786
LY9,326.5129248,-2.059707491,0.48916605,2.55e-05,0.006885786
CCL19,1333.68342,-2.403685297,0.56998147,2.47e-05,0.006885786
TRG-AS1,205.879083,-1.859563071,0.444297087,2.85e-05,0.007146225
MYBPHL,9.471540307,2.123482104,0.507086496,2.82e-05,0.007146225
ZC4H2,163.2046048,-1.376671489,0.328130249,2.72e-05,0.007146225
CD37,1668.041832,-1.847023173,0.440974181,2.81e-05,0.007146225
KIF13A,5792.027278,1.397184643,0.33459965,2.97e-05,0.007346825
RAB42,245.298497,-1.805564354,0.433716762,3.14e-05,0.007542226
APOA1,200.7966998,-2.527026936,0.606935848,3.13e-05,0.007542226
CD69,390.154998,-1.991256224,0.481162735,3.5e-05,0.00827733
ANKRD29,217.3605282,-1.627690004,0.395656979,3.89e-05,0.008952871
PPP1R16B,1438.500341,-1.614783937,0.392230202,3.84e-05,0.008952871
LZTS1,4461.676875,1.497740493,0.364847872,4.04e-05,0.009048539
PROC,26.70546137,-1.953728313,0.475644689,4e-05,0.009048539
KCNJ5,339.6067527,-1.932334709,0.471072759,4.1e-05,0.009049234
ZC3H12D,244.1508816,-1.785799971,0.437289292,4.43e-05,0.009548075
CD48,2273.960318,-1.829801391,0.448101908,4.44e-05,0.009548075
EFHC1,1088.051237,1.241047306,0.305035083,4.73e-05,0.010049465
HLA-DRA,74497.88349,-1.783361675,0.438684782,4.8e-05,0.010063417
VN1R1,54.99829076,1.587233911,0.392055702,5.15e-05,0.010676433
PCGF3,2965.394832,0.826897195,0.204533853,5.28e-05,0.0108022
CBLN2,129.7908936,-2.443074135,0.606388579,5.6e-05,0.011053957
GP1BA,122.7933443,-1.965500322,0.487770583,5.59e-05,0.011053957
UVSSA,579.3276828,0.960637233,0.238126057,5.48e-05,0.011053957
IGSF6,1169.575361,-1.543263332,0.383468643,5.71e-05,0.011130553
HTRA4,201.7905135,-1.981537693,0.49370256,5.98e-05,0.011183378
FCER1G,6851.246276,-1.878200784,0.468838306,6.17e-05,0.011183378
HLA-DOB,127.2353442,-2.00642574,0.49936641,5.87e-05,0.011183378
IRF8,2536.316003,-1.750591904,0.436851254,6.14e-05,0.011183378
ANKRD30B,230.6811917,2.354304895,0.588497733,6.32e-05,0.011183378
WDFY4,1024.5434,-1.700629385,0.423802064,6e-05,0.011183378
PTPRCAP,797.5518049,-2.042097485,0.510056597,6.24e-05,0.011183378
RNASE6,1561.046387,-1.527601537,0.3819373,6.34e-05,0.011183378
SELENOP,4438.995239,-1.522884622,0.379557913,6.01e-05,0.011183378
OSTM1,8603.495186,1.233796273,0.308890885,6.49e-05,0.011317762
FTL,285336.9109,-1.785900209,0.447788198,6.66e-05,0.011487306
SOWAHD,75.38466967,-1.792088997,0.451575826,7.23e-05,0.012227164
NTS,41.72721655,-2.361673644,0.59506724,7.23e-05,0.012227164
DCBLD2,6180.479962,1.546978542,0.39018551,7.35e-05,0.012297943
MTRNR2L1,312.8330945,2.360049915,0.600114574,8.4e-05,0.012320219
CLU,5819.851306,-2.02704754,0.513147033,7.81e-05,0.012320219
PLD4,166.1253909,-1.909775446,0.483268685,7.76e-05,0.012320219
SIT1,300.77273279999997,-2.024709525,0.515126848,8.48e-05,0.012320219
P2RY8,1091.792249,-1.767401215,0.446419887,7.52e-05,0.012320219
GRB10,2841.615725,1.232182297,0.311831988,7.77e-05,0.012320219
BLNK,526.4183426,-1.595146709,0.404101277,7.9e-05,0.012320219
HLA-DOA,2872.294458,-1.745514721,0.443136391,8.18e-05,0.012320219
MCOLN3,6052.988185,2.189220598,0.55524576,8.05e-05,0.012320219
ARHGAP15,712.9295938,-1.592403995,0.402838587,7.72e-05,0.012320219
BHMT,92.58664322,-2.394153754,0.605056198,7.59e-05,0.012320219
SMAP2,3291.454098,-1.089286864,0.276510844,8.17e-05,0.012320219
TMEM156,162.405102,-2.028084021,0.515632938,8.38e-05,0.012320219
CD3D,645.0152061,-1.951177103,0.495060116,8.1e-05,0.012320219
ZNF101,436.1278983,-1.073914784,0.273189823,8.46e-05,0.012320219
CARD11,511.4548407,-1.785612951,0.454914187,8.67e-05,0.012487341
2017-09-01 00:00:00,548.0479145,-1.821044879,0.465821956,9.26e-05,0.012925889
ASAH2,85.96392355,-1.639511395,0.418955909,9.1e-05,0.012925889
CD83,1799.677848,-1.343217667,0.343561679,9.24e-05,0.012925889
SYTL3,282.6214433,-1.424500564,0.364453456,9.28e-05,0.012925889
POC1B,1506.782937,-1.268963699,0.325169452,9.52e-05,0.013147011
HLA-DPB1,16334.11783,-1.692830355,0.435611339,0.000101866,0.013839375
LOC93429,39.69680085,2.331792305,0.600046492,0.000101901,0.013839375
LIPA,15961.50846,-1.436584248,0.371088725,0.00010827,0.014584797
MIR211,20.76076482,2.261111495,0.584824483,0.000110495,0.014764508
ADGRB1,252.5286671,2.003039392,0.518446074,0.000111754,0.014813163
NCF1C,994.5136754,-1.830578815,0.474225319,0.000113319,0.014901507
POU2AF1,862.5621593,-2.153064982,0.55896585,0.000117218,0.015137788
