symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
PDCD1,214.081128524248,1.71207863990498,0.303660611670007,1.71904626303009e-08,0.000387314991777252
SLC2A6,270.724862852983,1.00131956574899,0.196814998488545,3.62588426520771e-07,0.00156848743382941
SPATA13,3351.81442256186,0.46437031520208,0.0917131420016397,4.12080370208936e-07,0.00156848743382941
PIR,690.546277030831,-0.917461390876937,0.179552829775895,3.22667937004592e-07,0.00156848743382941
SLC24A5,3810.00194788699,-2.01353481582427,0.41269778628745,1.06648227878984e-06,0.00283211847976804
TYRO3,2618.12818724158,-0.729581942156975,0.153629513425894,2.04455319543357e-06,0.00518807531519052
CXCR6,613.514781082825,1.34843685576078,0.303128045050025,8.65095727081276e-06,0.00815891273166251
FGD1,1109.23941282513,-0.519837658344413,0.112474252160181,3.80356857429504e-06,0.00815891273166251
GZMH,326.367327033936,1.49833326065044,0.334659716655132,7.56339199027282e-06,0.00815891273166251
HLA-F,4905.73226099921,0.891357909948353,0.198443109310043,7.06385207188053e-06,0.00815891273166251
MPO,167.517110421633,1.49208495379845,0.334174162370905,8.00717523785254e-06,0.00815891273166251
MT1E,1238.48324618029,1.16175789645258,0.254353700421697,4.93600020489555e-06,0.00815891273166251
PRF1,772.419175007559,1.35696028804627,0.306658597459206,9.64481189856382e-06,0.00815891273166251
CCL4,727.609537077564,1.22994429879545,0.270120608847993,5.28070376672793e-06,0.00815891273166251
BCAN,2664.77489925907,-1.87995045505537,0.420812547128407,7.9165028222834e-06,0.00815891273166251
TOX2,135.113964378741,1.04137017538583,0.228990221729087,5.42451106454844e-06,0.00815891273166251
IL32,4424.68573587788,1.2205644106672,0.277695859972172,1.10605574084615e-05,0.00815891273166251
GREB1,2340.25266965511,-0.956862695938833,0.215294702469778,8.8124315661752e-06,0.00815891273166251
CBX1,3344.00098787059,-0.205536421812958,0.047794422899547,1.70469399232152e-05,0.00979827930283957
GJD3,227.343441642185,0.656965313096108,0.15182202517873,1.51012105323313e-05,0.00979827930283957
LGI3,610.324952971896,-1.75901034819073,0.402690465620839,1.25306286878729e-05,0.00979827930283957
GZMA,937.817717317042,1.35561847245788,0.316228948349659,1.81244160113155e-05,0.00979827930283957
HLA-L,637.181180325175,0.734428641091996,0.16940451496981,1.45525348522403e-05,0.00979827930283957
SLC45A2,3130.9957011738,-1.98188188092499,0.458852722699514,1.5658777900789e-05,0.00979827930283957
GPR132,237.810104704272,0.959711917015933,0.224336901883991,1.88585115245506e-05,0.0103729002413674
LY75,508.633783098537,0.929818505321402,0.216644224785333,1.77139103037542e-05,0.0103729002413674
RGS20,1547.71251168675,-1.58037305124795,0.36555321866799,1.53756689975991e-05,0.0105557569023538
GYG2,3330.64191922758,-1.0945636750643,0.255435990621484,1.82673377119034e-05,0.0105557569023538
HS3ST3B1,85.4260252661743,1.55812480607786,0.344459564917618,6.0857075487996e-06,0.0105557569023538
P2RX6,256.100794262281,-0.963372565921964,0.222420606984708,1.48224921606359e-05,0.0111320902230902
SLCO4A1-AS1,569.712471288134,-1.60429731555354,0.385356136167973,3.13880172552707e-05,0.0113994704288461
TTC39B,304.096809103385,0.707754278321352,0.168738256582071,2.73605295336761e-05,0.0113994704288461
GCH1,1005.77535012063,0.91541410661454,0.218717651148478,2.84703053896498e-05,0.0113994704288461
CYFIP2,1838.07526535539,0.700137056384796,0.165927878691765,2.44816109534552e-05,0.0113994704288461
ICOS,337.097428987669,1.30894385647149,0.310710820532002,2.52291579297251e-05,0.0113994704288461
