run_accession,cohort,fastq_ftp,total_gb
ERR2208901,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208901/ERR2208901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208901/ERR2208901_2.fastq.gz,14.337
ERR2208910,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/000/ERR2208910/ERR2208910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/000/ERR2208910/ERR2208910_2.fastq.gz,10.547
ERR2208939,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208939/ERR2208939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208939/ERR2208939_2.fastq.gz,7.619
ERR2208942,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/002/ERR2208942/ERR2208942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/002/ERR2208942/ERR2208942_2.fastq.gz,6.374
ERR2208949,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208949/ERR2208949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208949/ERR2208949_2.fastq.gz,6.721
ERR2208958,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208958/ERR2208958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208958/ERR2208958_2.fastq.gz,6.503
ERR2208974,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208974/ERR2208974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208974/ERR2208974_2.fastq.gz,7.474
ERR2208888,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208888/ERR2208888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208888/ERR2208888_2.fastq.gz,20.593
ERR2208892,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/002/ERR2208892/ERR2208892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/002/ERR2208892/ERR2208892_2.fastq.gz,7.217
ERR2208899,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208899/ERR2208899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208899/ERR2208899_2.fastq.gz,19.166
ERR2208904,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208904/ERR2208904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208904/ERR2208904_2.fastq.gz,16.013
ERR2208907,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/007/ERR2208907/ERR2208907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/007/ERR2208907/ERR2208907_2.fastq.gz,13.394
ERR2208919,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208919/ERR2208919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208919/ERR2208919_2.fastq.gz,18.735
ERR2208921,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208921/ERR2208921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208921/ERR2208921_2.fastq.gz,7.078
ERR2208922,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/002/ERR2208922/ERR2208922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/002/ERR2208922/ERR2208922_2.fastq.gz,6.775
ERR2208931,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208931/ERR2208931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208931/ERR2208931_2.fastq.gz,7.211
ERR2208938,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208938/ERR2208938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208938/ERR2208938_2.fastq.gz,6.296
ERR2208945,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/005/ERR2208945/ERR2208945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/005/ERR2208945/ERR2208945_2.fastq.gz,6.47
ERR2208954,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208954/ERR2208954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208954/ERR2208954_2.fastq.gz,7.548
ERR2208959,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208959/ERR2208959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/009/ERR2208959/ERR2208959_2.fastq.gz,5.927
